name,email
David Wong,david@gmail.com
Mary Lee,mary@gmail.com
John Chan,john@gmail.com
Peter Lau,peter@gmail.com
Amy Wong,amy@gmail.com
Michael Chan,michael@gmail.com
Susan Lee,susan@gmail.com
Kenneth Ng,kenneth@gmail.com
Alice Ho,alice@gmail.com
Brian Cheng,brian@gmail.com
Catherine Lam,catherine@gmail.com
Daniel Yeung,daniel@gmail.com
Emily Kwok,emily@gmail.com
Frankie Tam,frankie@gmail.com
Grace Chiu,grace@gmail.com
Henry Fung,henryf@gmail.com
Irene Ko,irene@gmail.com
Jason Yip,jason@gmail.com
Karen Tong,karen@gmail.com
Leo Tsang,leo@gmail.com
Henry Test,henry@test.com
